tier,rank,name,position,team,notes
1,1,Jahmyr Gibbs,RB,DET,Bye 6
1,2,Bijan Robinson,RB,ATL,Bye 11
1,3,Ja'Marr Chase,WR,CIN,Bye 6
2,4,Puka Nacua,WR,LA,Bye 11
2,5,Jaxon Smith-Njigba,WR,SEA,Bye 11
2,6,Christian McCaffrey,RB,SF,Bye 8
2,7,Amon-Ra St. Brown,WR,DET,Bye 6
2,8,James Cook,RB,BUF,Bye 7
3,9,Justin Jefferson,WR,MIN,Bye 6
3,10,CeeDee Lamb,WR,DAL,Bye 14
3,11,Jonathan Taylor,RB,IND,Bye 13
3,12,Ashton Jeanty,RB,LV,Bye 13
3,13,Kenneth Walker,RB,KC,Bye 5
3,14,Saquon Barkley,RB,PHI,Bye 10
3,15,Drake London,WR,ATL,Bye 11
3,16,Derrick Henry,RB,BAL,Bye 13
3,17,De'Von Achane,RB,MIA,Bye 6
3,18,Chase Brown,RB,CIN,Bye 6
3,19,Brock Bowers,TE,LV,Bye 13
3,20,A.J. Brown,WR,NE,Bye 11
3,21,Nico Collins,WR,HOU,Bye 8
3,22,Omarion Hampton,RB,LAC,Bye 7
3,23,Malik Nabers,WR,NYG,Bye 8
3,24,DeVonta Smith,WR,PHI,Bye 10
3,25,George Pickens,WR,DAL,Bye 14
4,26,Jeremiyah Love,RB,ARI,Bye 14
4,27,Rashee Rice,WR,KC,Bye 5
4,28,Trey McBride,TE,ARI,Bye 14
4,29,Chris Olave,WR,NO,Bye 8
4,30,Josh Allen,QB,BUF,Bye 7
4,31,Zay Flowers,WR,BAL,Bye 13
4,32,Josh Jacobs,RB,GB,Bye 11
4,33,Tee Higgins,WR,CIN,Bye 6
4,34,Emeka Egbuka,WR,TB,Bye 10
4,35,Breece Hall,RB,NYJ,Bye 13
4,36,Tetairoa McMillan,WR,CAR,Bye 5
4,37,Garrett Wilson,WR,NYJ,Bye 13
4,38,Colston Loveland,TE,CHI,Bye 10
4,39,Jaylen Waddle,WR,DEN,Bye 10
4,40,Javonte Williams,RB,DAL,Bye 14
4,41,Kyren Williams,RB,LA,Bye 11
4,42,Lamar Jackson,QB,BAL,Bye 13
4,43,Luther Burden,WR,CHI,Bye 10
4,44,Ladd McConkey,WR,LAC,Bye 7
4,45,Cam Skattebo,RB,NYG,Bye 8
4,46,Davante Adams,WR,LA,Bye 11
4,47,Mike Evans,WR,SF,Bye 8
4,48,Travis Etienne,RB,NO,Bye 8
4,49,Drake Maye,QB,NE,Bye 11
4,50,Jayden Daniels,QB,WAS,Bye 7
5,51,David Montgomery,RB,HOU,Bye 8
5,52,Jameson Williams,WR,DET,Bye 6
5,53,Quinshon Judkins,RB,CLE,Bye 11
5,54,Bhayshul Tuten,RB,JAC,Bye 7
5,55,Bucky Irving,RB,TB,Bye 10
5,56,D'Andre Swift,RB,CHI,Bye 10
5,57,Christian Watson,WR,GB,Bye 11
5,58,Terry McLaurin,WR,WAS,Bye 7
5,59,Joe Burrow,QB,CIN,Bye 6
5,60,Jalen Hurts,QB,PHI,Bye 10
5,61,DJ Moore,WR,BUF,Bye 7
5,62,Jadarian Price,RB,SEA,Bye 11
5,63,Jordyn Tyson,WR,NO,Bye 8
5,64,Rome Odunze,WR,CHI,Bye 10
5,65,TreVeyon Henderson,RB,NE,Bye 11
5,66,Tyler Warren,TE,IND,Bye 13
5,67,Carnell Tate,WR,TEN,Bye 9
5,68,Caleb Williams,QB,CHI,Bye 10
5,69,Rhamondre Stevenson,RB,NE,Bye 11
5,70,Brian Thomas,WR,JAC,Bye 7
5,71,Tucker Kraft,TE,GB,Bye 11
5,72,Parker Washington,WR,JAC,Bye 7
5,73,Jaylen Warren,RB,PIT,Bye 9
5,74,Justin Herbert,QB,LAC,Bye 7
6,75,DK Metcalf,WR,PIT,Bye 9
6,76,Tony Pollard,RB,TEN,Bye 9
6,77,Marvin Harrison,WR,ARI,Bye 14
6,78,Harold Fannin,TE,CLE,Bye 11
6,79,Josh Downs,WR,IND,Bye 13
6,80,Trevor Lawrence,QB,JAC,Bye 7
6,81,Jayden Reed,WR,GB,Bye 11
6,82,Chuba Hubbard,RB,CAR,Bye 5
6,83,Alec Pierce,WR,IND,Bye 13
6,84,Rico Dowdle,RB,PIT,Bye 9
6,85,Chris Godwin,WR,TB,Bye 10
6,86,Jaxson Dart,QB,NYG,Bye 8
6,87,RJ Harvey,RB,DEN,Bye 10
6,88,Brock Purdy,QB,SF,Bye 8
